date, time, player, good cuts, bad cuts, difficuly, score, FC, no fail, dissappearing, ghost, faster, JR
Nov 14, 02:22, MAEVE, 867, 16, ExpertPlus, 722915, False, False, True, False, False, False
Nov 13, 06:35, MJ, 851, 32, ExpertPlus, 689797, False, False, True, False, True, False
Nov 06, 12:51, CHEEKEN, 789, 6, Expert, 653603, False, False, False, False, False, False
Nov 05, 04:13, SHAQUIL, 785, 10, Expert, 596701, False, False, False, False, False, False
Nov 06, 03:59, BB, 839, 44, ExpertPlus, 560702, False, False, False, False, False, False
Nov 14, 11:55, SIRPAI, 756, 39, Expert, 506312, False, False, False, False, False, False
Nov 14, 05:07, JOHNZKY, 546, 0, Hard, 428080, True, False, False, False, False, False
Nov 14, 11:40, JL, 544, 2, Hard, 422006, False, False, False, False, True, False
Nov 14, 11:24, HASH, 520, 26, Hard, 370592, False, False, False, False, False, False
Nov 09, 12:59, MAMA, 544, 2, Hard, 352713, False, False, False, False, False, False
Nov 12, 08:00, MING, 782, 13, Expert, 299780, False, True, False, False, False, False
Nov 04, 03:35, GAB, 341, 7, Normal, 96454, False, True, False, False, False, False
Nov 01, 07:11, JET, 534, 12, Hard, 71850, False, True, False, False, False, False
