date, time, player, good cuts, bad cuts, difficuly, score, FC, no fail, dissappearing, ghost, faster, JR
Oct 26, 09:17, BIT, 1051, 16, Expert, 822242, False, False, False, False, False, False
Oct 16, 04:56, MAEVE, 856, 8, Hard, 693151, False, False, False, False, False, False
Oct 26, 01:52, MJ, 831, 33, Hard, 643345, False, False, False, False, True, False
Oct 09, 07:30, MINGMING, 659, 3, Normal, 539884, False, False, False, False, False, False
Oct 06, 04:18, HASH, 658, 4, Normal, 531236, False, False, False, False, False, True
Oct 27, 03:08, SIRPAI, 640, 22, Normal, 429605, False, False, False, False, False, False
Oct 16, 07:35, SKYE, 1013, 54, Expert, 319477, False, True, False, False, False, False
Oct 30, 10:33, IMASHEEP, 1019, 48, Expert, 308428, False, True, False, False, False, False
Oct 02, 10:18, YENG, 759, 105, Hard, 215013, False, True, False, False, False, False
Oct 27, 02:16, JOHNZKY, 651, 11, Normal, 194973, False, True, False, False, False, False
Oct 01, 05:28, JAMES, 595, 67, Normal, 189346, False, True, False, False, False, False
Oct 29, 11:22, MIMIM, 578, 84, Normal, 171701, False, True, False, False, False, False
Oct 21, 01:54, SCHAINE, 401, 52, Easy, 124441, False, True, False, False, False, False
Oct 03, 11:20, MMM, 488, 174, Normal, 104308, False, True, False, False, True, False
Oct 19, 08:57, PAULENE, 506, 156, Normal, 93486, False, True, False, False, False, True
Oct 18, 10:13, VEERICH, 492, 156, Normal, 87136, False, True, False, False, False, True
Oct 11, 12:25, RICHARD, 415, 247, Normal, 56007, False, True, False, False, False, False
Oct 03, 02:45, SEAN, 744, 323, Expert, 18058, False, True, False, False, False, False
